order_id,customer_id,order_date,order_value,category,city
O00001,C0001,2025-01-21,330.18,Fruits & Vegetables,Bangalore
O00002,C0002,2025-03-25,433.91,Beverages,Bangalore
O00003,C0003,2025-02-18,584.95,Dairy & Eggs,Bangalore
O00004,C0003,2025-02-14,234.97,Fruits & Vegetables,Bangalore
O00005,C0004,2025-03-04,405.44,Packaged Grocery,Bangalore
O00006,C0005,2025-04-05,350.31,Packaged Grocery,Bangalore
O00007,C0005,2025-01-04,505.34,Fruits & Vegetables,Bangalore
O00008,C0006,2025-02-16,611.6,Packaged Grocery,Hyderabad
O00009,C0006,2025-01-11,247.45,Packaged Grocery,Hyderabad
O00010,C0006,2025-02-13,239.37,Dairy & Eggs,Hyderabad
O00011,C0007,2025-01-08,244.63,Dairy & Eggs,Bangalore
O00012,C0008,2025-03-29,587.9,Packaged Grocery,Bangalore
O00013,C0009,2025-02-09,256.31,Staples,Hyderabad
O00014,C0010,2025-03-14,348.93,Staples,Bangalore
O00015,C0011,2025-03-30,603.27,Fruits & Vegetables,Bangalore
O00016,C0012,2024-12-20,502.1,Staples,Hyderabad
O00017,C0013,2025-03-28,320.21,Packaged Grocery,Hyderabad
O00018,C0014,2025-02-16,270.74,Beverages,Bangalore
O00019,C0015,2025-02-09,828.22,Fruits & Vegetables,Hyderabad
O00020,C0015,2025-01-07,475.32,Staples,Hyderabad
O00021,C0016,2025-01-30,528.41,Bakery,Bangalore
O00022,C0017,2025-02-01,386.79,Beverages,Hyderabad
O00023,C0018,2025-04-05,400.99,Fruits & Vegetables,Hyderabad
O00024,C0019,2025-02-19,626.99,Packaged Grocery,Hyderabad
O00025,C0019,2025-01-07,293.39,Staples,Hyderabad
O00026,C0020,2024-12-17,470.71,Fruits & Vegetables,Bangalore
O00027,C0021,2025-03-21,453.7,Fruits & Vegetables,Hyderabad
O00028,C0021,2025-03-21,629.49,Fruits & Vegetables,Hyderabad
O00029,C0021,2025-01-17,218.29,Bakery,Hyderabad
O00030,C0021,2025-01-06,604.03,Dairy & Eggs,Hyderabad
O00031,C0022,2025-02-03,494.72,Beverages,Bangalore
O00032,C0022,2025-02-19,546.57,Dairy & Eggs,Bangalore
O00033,C0023,2025-02-21,782.66,Beverages,Bangalore
O00034,C0024,2025-02-13,463.65,Beverages,Hyderabad
O00035,C0025,2025-03-30,465.25,Fruits & Vegetables,Bangalore
O00036,C0026,2025-03-18,458.1,Beverages,Bangalore
O00037,C0026,2025-03-29,378.62,Beverages,Bangalore
O00038,C0027,2025-01-01,375.43,Staples,Hyderabad
O00039,C0028,2025-02-23,230.21,Staples,Hyderabad
O00040,C0029,2025-01-14,292.99,Dairy & Eggs,Bangalore
O00041,C0030,2025-02-14,468.64,Bakery,Bangalore
O00042,C0030,2025-03-12,478.93,Fruits & Vegetables,Bangalore
O00043,C0030,2025-02-15,504.23,Fruits & Vegetables,Bangalore
O00044,C0031,2024-12-26,472.87,Dairy & Eggs,Bangalore
O00045,C0032,2025-02-12,447.44,Fruits & Vegetables,Bangalore
O00046,C0033,2025-03-11,399.96,Bakery,Bangalore
O00047,C0033,2025-03-24,629.15,Bakery,Bangalore
O00048,C0034,2025-02-13,498.16,Staples,Hyderabad
O00049,C0035,2025-02-09,455.46,Beverages,Bangalore
O00050,C0036,2025-04-16,408.04,Beverages,Bangalore
O00051,C0037,2025-03-11,326.86,Beverages,Bangalore
O00052,C0037,2025-01-25,468.09,Staples,Bangalore
O00053,C0038,2025-01-28,401.32,Bakery,Hyderabad
O00054,C0039,2025-02-21,339.07,Fruits & Vegetables,Bangalore
O00055,C0040,2025-01-28,466.8,Dairy & Eggs,Bangalore
O00056,C0040,2025-02-05,418.85,Packaged Grocery,Bangalore
O00057,C0040,2025-03-25,646.08,Dairy & Eggs,Bangalore
O00058,C0041,2025-02-27,513.98,Beverages,Hyderabad
O00059,C0042,2025-03-05,471.04,Dairy & Eggs,Bangalore
O00060,C0043,2025-01-21,329.61,Beverages,Hyderabad
O00061,C0044,2025-03-24,330.08,Beverages,Bangalore
O00062,C0045,2025-04-17,270.01,Fruits & Vegetables,Hyderabad
O00063,C0046,2025-02-03,490.67,Bakery,Bangalore
O00064,C0047,2025-04-15,641.36,Dairy & Eggs,Hyderabad
O00065,C0048,2025-01-31,457.44,Packaged Grocery,Bangalore
O00066,C0048,2025-02-24,470.25,Fruits & Vegetables,Bangalore
O00067,C0049,2025-01-09,258.02,Beverages,Hyderabad
O00068,C0050,2025-01-02,150,Dairy & Eggs,Hyderabad
O00069,C0051,2025-01-09,450.4,Bakery,Bangalore
O00070,C0051,2025-01-07,325.68,Dairy & Eggs,Bangalore
O00071,C0051,2025-03-16,248.66,Dairy & Eggs,Bangalore
O00072,C0052,2025-03-28,249.21,Bakery,Bangalore
O00073,C0052,2025-03-09,347.35,Dairy & Eggs,Bangalore
O00074,C0052,2025-03-25,621.03,Fruits & Vegetables,Bangalore
O00075,C0053,2025-03-08,631.44,Staples,Bangalore
O00076,C0054,2025-04-15,402.42,Packaged Grocery,Hyderabad
O00077,C0054,2025-04-07,150,Fruits & Vegetables,Hyderabad
O00078,C0055,2025-03-03,406.01,Beverages,Bangalore
O00079,C0056,2025-03-18,414.41,Fruits & Vegetables,Bangalore
O00080,C0057,2025-04-08,676.4,Beverages,Bangalore
O00081,C0057,2025-03-07,334.68,Staples,Bangalore
O00082,C0057,2024-12-29,602.54,Beverages,Bangalore
O00083,C0058,2025-03-06,337.84,Dairy & Eggs,Hyderabad
O00084,C0058,2025-03-23,477.82,Bakery,Hyderabad
O00085,C0058,2025-01-21,587.96,Dairy & Eggs,Hyderabad
O00086,C0059,2024-12-27,518.69,Bakery,Hyderabad
O00087,C0060,2025-02-18,355.32,Staples,Hyderabad
O00088,C0061,2025-03-22,250.91,Packaged Grocery,Bangalore
O00089,C0062,2025-03-23,443.58,Fruits & Vegetables,Bangalore
O00090,C0063,2024-12-23,435.33,Staples,Bangalore
O00091,C0064,2025-02-13,365.23,Staples,Bangalore
O00092,C0065,2025-03-19,555.66,Beverages,Bangalore
O00093,C0066,2025-03-12,473.02,Dairy & Eggs,Hyderabad
O00094,C0066,2024-12-31,389.75,Bakery,Hyderabad
O00095,C0066,2025-01-17,269.39,Packaged Grocery,Hyderabad
O00096,C0066,2025-01-06,390.16,Bakery,Hyderabad
O00097,C0067,2025-02-16,443.55,Packaged Grocery,Hyderabad
O00098,C0068,2025-01-24,625.04,Dairy & Eggs,Bangalore
O00099,C0069,2025-03-10,466.06,Packaged Grocery,Hyderabad
O00100,C0069,2024-12-28,356.58,Dairy & Eggs,Hyderabad
O00101,C0070,2025-01-25,447.9,Packaged Grocery,Hyderabad
O00102,C0071,2025-04-02,479.32,Beverages,Hyderabad
O00103,C0071,2025-01-29,316.6,Fruits & Vegetables,Hyderabad
O00104,C0072,2024-12-29,424.14,Bakery,Hyderabad
O00105,C0072,2025-02-08,417.65,Beverages,Hyderabad
O00106,C0073,2025-03-19,393.21,Packaged Grocery,Bangalore
O00107,C0074,2025-01-07,358.6,Beverages,Hyderabad
O00108,C0075,2025-01-29,393.88,Bakery,Bangalore
O00109,C0076,2025-04-18,413.19,Bakery,Bangalore
O00110,C0077,2025-03-13,422.86,Packaged Grocery,Hyderabad
O00111,C0077,2025-01-01,193.39,Fruits & Vegetables,Hyderabad
O00112,C0078,2025-03-21,380.75,Staples,Hyderabad
O00113,C0079,2025-03-28,427.54,Fruits & Vegetables,Bangalore
O00114,C0080,2025-03-15,547.22,Bakery,Bangalore
O00115,C0080,2025-01-12,415.48,Beverages,Bangalore
O00116,C0081,2025-04-07,177.12,Beverages,Bangalore
O00117,C0081,2025-01-24,289.08,Bakery,Bangalore
O00118,C0082,2025-04-09,572.31,Staples,Hyderabad
O00119,C0082,2025-01-14,361.97,Fruits & Vegetables,Hyderabad
O00120,C0083,2025-02-17,396.06,Staples,Bangalore
O00121,C0083,2025-02-28,381.47,Fruits & Vegetables,Bangalore
O00122,C0083,2024-12-25,297.91,Bakery,Bangalore
O00123,C0084,2025-01-15,462.76,Beverages,Hyderabad
O00124,C0084,2025-01-22,481.25,Packaged Grocery,Hyderabad
O00125,C0085,2025-03-11,496.59,Dairy & Eggs,Hyderabad
O00126,C0086,2025-02-02,359.25,Beverages,Bangalore
O00127,C0086,2025-01-20,399.02,Packaged Grocery,Bangalore
O00128,C0087,2025-03-09,452.4,Beverages,Bangalore
O00129,C0088,2025-02-22,468.09,Staples,Hyderabad
O00130,C0089,2025-01-05,428.29,Staples,Hyderabad
O00131,C0090,2025-04-18,386.48,Dairy & Eggs,Hyderabad
O00132,C0090,2025-03-21,537.47,Staples,Hyderabad
O00133,C0091,2025-03-01,383.69,Packaged Grocery,Hyderabad
O00134,C0092,2025-03-14,501.44,Fruits & Vegetables,Hyderabad
O00135,C0093,2025-01-04,555.01,Beverages,Bangalore
O00136,C0094,2025-03-27,332.67,Packaged Grocery,Hyderabad
O00137,C0095,2025-02-17,399.55,Packaged Grocery,Bangalore
O00138,C0096,2025-02-15,317.44,Packaged Grocery,Bangalore
O00139,C0096,2025-02-28,311.44,Fruits & Vegetables,Bangalore
O00140,C0097,2025-01-11,548.01,Beverages,Hyderabad
O00141,C0098,2025-01-12,325.73,Dairy & Eggs,Bangalore
O00142,C0098,2025-04-10,380.72,Beverages,Bangalore
O00143,C0099,2025-02-24,325.4,Bakery,Hyderabad
O00144,C0100,2025-02-07,150,Beverages,Hyderabad
O00145,C0100,2025-04-13,267.92,Dairy & Eggs,Hyderabad
O00146,C0100,2025-01-30,294.79,Dairy & Eggs,Hyderabad
O00147,C0101,2025-04-03,463.4,Dairy & Eggs,Hyderabad
O00148,C0101,2025-04-12,265.99,Bakery,Hyderabad
O00149,C0102,2025-03-17,370.04,Bakery,Hyderabad
O00150,C0102,2025-04-13,239.81,Staples,Hyderabad
O00151,C0103,2025-02-28,256.64,Fruits & Vegetables,Bangalore
O00152,C0104,2025-04-16,495.93,Fruits & Vegetables,Bangalore
O00153,C0104,2025-04-04,462.7,Beverages,Bangalore
O00154,C0105,2025-02-26,350.04,Packaged Grocery,Hyderabad
O00155,C0106,2025-02-10,543.66,Packaged Grocery,Hyderabad
O00156,C0107,2025-03-29,641.66,Beverages,Hyderabad
O00157,C0108,2025-02-07,615.23,Bakery,Bangalore
O00158,C0109,2025-02-09,217.44,Fruits & Vegetables,Hyderabad
O00159,C0109,2025-02-23,506.32,Packaged Grocery,Hyderabad
O00160,C0110,2025-03-13,470.88,Bakery,Hyderabad
O00161,C0111,2025-04-08,316.47,Bakery,Hyderabad
O00162,C0112,2024-12-28,479.56,Beverages,Bangalore
O00163,C0113,2025-04-04,322.24,Beverages,Bangalore
O00164,C0113,2025-03-13,318.84,Bakery,Bangalore
O00165,C0114,2025-02-10,487.25,Staples,Bangalore
O00166,C0115,2025-02-08,351.21,Dairy & Eggs,Hyderabad
O00167,C0115,2025-03-21,363.91,Beverages,Hyderabad
O00168,C0116,2025-02-26,466.78,Fruits & Vegetables,Bangalore
O00169,C0117,2025-02-27,379.06,Bakery,Bangalore
O00170,C0117,2025-02-20,425.98,Bakery,Bangalore
O00171,C0118,2025-01-08,594.05,Packaged Grocery,Bangalore
O00172,C0118,2025-01-05,255.16,Bakery,Bangalore
O00173,C0118,2025-03-01,550.85,Fruits & Vegetables,Bangalore
O00174,C0119,2025-01-03,150,Bakery,Hyderabad
O00175,C0120,2025-02-10,334.44,Beverages,Bangalore
O00176,C0121,2024-12-29,489.77,Beverages,Hyderabad
O00177,C0121,2025-03-01,591.95,Dairy & Eggs,Hyderabad
O00178,C0122,2025-02-27,543.55,Staples,Hyderabad
O00179,C0123,2025-02-28,406.33,Fruits & Vegetables,Bangalore
O00180,C0123,2024-12-21,450.93,Bakery,Bangalore
O00181,C0124,2025-03-04,638.85,Fruits & Vegetables,Bangalore
O00182,C0125,2025-01-30,358.76,Packaged Grocery,Hyderabad
O00183,C0126,2024-12-24,259.14,Dairy & Eggs,Hyderabad
O00184,C0127,2025-03-03,620.97,Staples,Hyderabad
O00185,C0128,2025-01-26,411.1,Packaged Grocery,Bangalore
O00186,C0129,2025-03-02,338.59,Bakery,Bangalore
O00187,C0130,2025-04-14,328.96,Staples,Bangalore
O00188,C0131,2025-03-24,439.1,Bakery,Bangalore
O00189,C0132,2025-01-04,506.9,Staples,Hyderabad
O00190,C0132,2025-02-19,176.87,Dairy & Eggs,Hyderabad
O00191,C0132,2025-04-20,316.82,Beverages,Hyderabad
O00192,C0133,2025-01-18,419.86,Dairy & Eggs,Hyderabad
O00193,C0134,2025-03-27,336.85,Packaged Grocery,Hyderabad
O00194,C0134,2025-01-27,496.76,Packaged Grocery,Hyderabad
O00195,C0134,2025-04-24,594.16,Packaged Grocery,Hyderabad
O00196,C0135,2025-01-02,309.65,Packaged Grocery,Bangalore
O00197,C0136,2025-03-21,310.75,Staples,Bangalore
O00198,C0137,2025-01-01,396.31,Bakery,Bangalore
O00199,C0138,2025-01-15,598.41,Packaged Grocery,Bangalore
O00200,C0139,2025-04-07,475.81,Packaged Grocery,Hyderabad
O00201,C0139,2025-02-15,181.02,Beverages,Hyderabad
O00202,C0139,2024-12-28,409.85,Bakery,Hyderabad
O00203,C0140,2025-01-07,650.82,Dairy & Eggs,Hyderabad
O00204,C0140,2025-01-13,623.93,Dairy & Eggs,Hyderabad
